ticker,name,sector_code,isin,active
AECL,Africa Explosives Corporation Limited,BM,ZM0000000284,1
ATEL,Airtel Networks Zambia,TEL,ZM0000000342,1
BATA,BATA Shoe Company,CG,ZM0000000102,1
BATZ,British American Tobacco Zambia,CG,ZM0000000029,1
CCAF,Copperbelt Energy Africa Investments,FIN,ZM0000000516,1
CECZ,Copperbelt Energy Corporation,ENE,ZM0000000136,1
CHIL,Chilanga Cement,IND,ZM0000000011,1
NATB,National Breweries,CG,ZM0000000086,1
PUMA,Puma Energy Zambia,ENE,ZM0000000194,1
REIZ,Real Estate Investments Zambia,RE,ZM0000000045,1
SCBL,Standard Chartered Bank,FIN,ZM0000000094,1
SHOP,Shoprite,CG,ZAE000012084,1
ZABR,Zambia Breweries,CG,ZM0000000078,1
ZCCM,Zambia Consolidated Copper Mines,BM,ZM0000000037,1
ZFCO,Zambia Forestry Corporation,BM,ZM0000000524,1
ZMBF,Zambia Beef,CG,ZM0000000201,1
ZMFA,Zambia Metal Fabricators Association,IND,ZM0000000243,1
ZMRE,Zambia Reinsurance,FIN,ZM0000000326,1
ZNCO,Zambia National Commercial Bank,FIN,ZM0000000250,1
ZSUG,Zambia Sugar,CG,ZM0000000052,1
