Trade Date,Display,Shares In Issue,Open Price,Close Price
13/01/2021,REIZ,"56,460,198.00",0.39,0.39
13/01/2021,ZMFA,"27,090,100.00",4.78,4.78
13/01/2021,ZNCO,"1,443,750,041.28",0.47,0.47
13/01/2021,ZCCM,"160,800,286.00",38.80,38.8
13/01/2021,ZFCO,"400,000,000.00",2.12,2.12
13/01/2021,BATZ,"212,456,304.00",1.80,1.8
13/01/2021,NATB,"63,000,000.00",9.21,9.21
13/01/2021,PUMA,"500,000,000.00",0.80,0.8
13/01/2021,SHOP,"2,700,000.00",63.00,63
13/01/2021,CCAF,"1,625,000,597.00",0.14,0.14
13/01/2021,PMDZ,"100,000,000.00",0.62,0.62
13/01/2021,ATEL,"104,000,000.00",29.49,29.49
13/01/2021,CECZ,"1,625,000,597.00",1.10,1.1
13/01/2021,ZABR,"546,000,000.00",7.23,7.23
13/01/2021,MAFS,"50,000,000.00",2.88,2.88
13/01/2021,ZMBF,"300,579,610.00",1.10,1.1
13/01/2021,SCBL,"1,666,980,000.00",1.40,1.4
13/01/2021,ZSUG,"316,571,385.40",2.55,2.55
13/01/2021,ZMRE,"45,000,000.00",2.80,2.8
13/01/2021,AECI,"20,406,600.00",20.50,20.5
13/01/2021,BATA,"76,107,600.00",2.60,2.6
13/01/2021,CHIL,"200,039,904.00",2.07,2.07
14/01/2021,REIZ,"56,460,198.00",0.39,0.39
14/01/2021,ZMFA,"27,090,100.00",4.78,4.78
14/01/2021,ZNCO,"1,443,750,041.28",0.47,0.47
14/01/2021,ZCCM,"160,800,286.00",38.80,38.8
14/01/2021,ZFCO,"400,000,000.00",2.12,2.12
14/01/2021,BATZ,"212,456,304.00",1.80,1.8
14/01/2021,NATB,"63,000,000.00",9.21,9.21
14/01/2021,PUMA,"500,000,000.00",0.80,0.8
14/01/2021,SHOP,"2,700,000.00",63.00,63
14/01/2021,CCAF,"1,625,000,597.00",0.14,0.14
14/01/2021,PMDZ,"100,000,000.00",0.62,0.62
14/01/2021,ATEL,"104,000,000.00",29.49,29.49
14/01/2021,CECZ,"1,625,000,597.00",1.10,1.1
14/01/2021,ZABR,"546,000,000.00",7.23,7.23
